startup_name,funding_amount,round,date,investors,short_description,funding_amount_numeric
Neo AI 1,$4M,Series C,"Feb 13, 2026",Investor 32,Neo AI 1 raises $4M to expand its business.,4.0
Alpha Ventures 2,$71M,None,"Oct 05, 2023",,Alpha Ventures 2 raises $71M to expand its business.,71.0
Star Ventures 3,$28M,Fund I,"Dec 20, 2023",Investor 20,Star Ventures 3 raises $28M to expand its business.,28.0
Beta Systems 4,$32M,Fund II,"Mar 11, 2025",,Beta Systems 4 raises $32M to expand its business.,32.0
Hyper Works 5,$55M,Seed,"Apr 16, 2023",,Hyper Works 5 raises $55M to expand its business.,55.0
Star Solutions 6,$106M,Fund I,"Sep 01, 2023",Investor 28,Star Solutions 6 raises $106M to expand its business.,106.0
Alpha Ventures 7,$101M,None,"Mar 24, 2025",,Alpha Ventures 7 raises $101M to expand its business.,101.0
Star Systems 8,$32M,None,"Oct 20, 2025",,Star Systems 8 raises $32M to expand its business.,32.0
Rocket AI 9,$107M,Fund I,"Mar 05, 2024",Investor 22,Rocket AI 9 raises $107M to expand its business.,107.0
Green Partners 10,$55M,Fund I,"Sep 03, 2023",,Green Partners 10 raises $55M to expand its business.,55.0
Smart Works 11,$122M,Series C,"Dec 26, 2024",,Smart Works 11 raises $122M to expand its business.,122.0
Neo Works 12,$141M,None,"Jan 06, 2025",Investor 44,Neo Works 12 raises $141M to expand its business.,141.0
Alpha Dynamics 13,$100M,Series A,"Jan 30, 2024",,Alpha Dynamics 13 raises $100M to expand its business.,100.0
Rocket AI 14,$15M,Series A,"Jul 01, 2023",,Rocket AI 14 raises $15M to expand its business.,15.0
Beta Works 15,$123M,None,"Jan 16, 2024",Investor 34,Beta Works 15 raises $123M to expand its business.,123.0
Beta Solutions 16,$34M,Series B,"Sep 24, 2025",Investor 20,Beta Solutions 16 raises $34M to expand its business.,34.0
Tech Partners 17,$85M,Fund II,"Jan 12, 2026",Investor 46,Tech Partners 17 raises $85M to expand its business.,85.0
Beta Solutions 18,$91M,Seed,"Nov 25, 2025",,Beta Solutions 18 raises $91M to expand its business.,91.0
Hyper Ventures 19,$145M,Series B,"Dec 10, 2024",,Hyper Ventures 19 raises $145M to expand its business.,145.0
Neo Works 20,$92M,Series B,"Jun 21, 2024",,Neo Works 20 raises $92M to expand its business.,92.0
Hyper Labs 21,$16M,Series A,"Jun 30, 2025",Investor 48,Hyper Labs 21 raises $16M to expand its business.,16.0
Neo Labs 22,$65M,Fund I,"May 26, 2025",,Neo Labs 22 raises $65M to expand its business.,65.0
Green Dynamics 23,$106M,Series A,"Sep 22, 2025",Investor 25,Green Dynamics 23 raises $106M to expand its business.,106.0
Alpha AI 24,$114M,Fund II,"Oct 30, 2024",,Alpha AI 24 raises $114M to expand its business.,114.0
Star Partners 25,$14M,Series B,"Aug 29, 2025",Investor 22,Star Partners 25 raises $14M to expand its business.,14.0
Star Works 26,$148M,Fund II,"May 22, 2025",,Star Works 26 raises $148M to expand its business.,148.0
Rocket Works 27,$74M,Series A,"Oct 20, 2023",Investor 9,Rocket Works 27 raises $74M to expand its business.,74.0
Star Dynamics 28,$20M,Fund I,"Apr 30, 2023",Investor 28,Star Dynamics 28 raises $20M to expand its business.,20.0
Neo Ventures 29,$88M,Series A,"Aug 26, 2024",Investor 8,Neo Ventures 29 raises $88M to expand its business.,88.0
Neo Labs 30,$45M,None,"Apr 22, 2023",Investor 44,Neo Labs 30 raises $45M to expand its business.,45.0
Star Dynamics 31,$2M,Series A,"Aug 03, 2024",,Star Dynamics 31 raises $2M to expand its business.,2.0
Quantum Works 32,$110M,None,"Apr 20, 2025",,Quantum Works 32 raises $110M to expand its business.,110.0
Star AI 33,$75M,Fund II,"Aug 05, 2024",Investor 5,Star AI 33 raises $75M to expand its business.,75.0
Neo AI 34,$110M,Seed,"Apr 04, 2025",Investor 15,Neo AI 34 raises $110M to expand its business.,110.0
Beta AI 35,$112M,Fund I,"Dec 24, 2024",,Beta AI 35 raises $112M to expand its business.,112.0
Beta AI 36,$21M,Fund II,"Feb 19, 2024",Investor 17,Beta AI 36 raises $21M to expand its business.,21.0
Neo AI 37,$115M,Fund I,"Feb 14, 2026",Investor 3,Neo AI 37 raises $115M to expand its business.,115.0
Beta Dynamics 38,$71M,Series B,"Nov 11, 2024",,Beta Dynamics 38 raises $71M to expand its business.,71.0
Alpha Works 39,$21M,Fund I,"Oct 08, 2023",,Alpha Works 39 raises $21M to expand its business.,21.0
Rocket Works 40,$24M,Series B,"Dec 31, 2023",,Rocket Works 40 raises $24M to expand its business.,24.0
Tech Labs 41,$57M,Series B,"Mar 01, 2024",Investor 43,Tech Labs 41 raises $57M to expand its business.,57.0
Beta Partners 42,$72M,Seed,"Sep 05, 2023",,Beta Partners 42 raises $72M to expand its business.,72.0
Neo Labs 43,$85M,Series C,"Jun 23, 2023",,Neo Labs 43 raises $85M to expand its business.,85.0
Alpha Systems 44,$22M,Seed,"May 04, 2025",,Alpha Systems 44 raises $22M to expand its business.,22.0
Tech AI 45,$147M,Seed,"Jul 21, 2023",,Tech AI 45 raises $147M to expand its business.,147.0
Smart Labs 46,$24M,None,"Sep 21, 2023",,Smart Labs 46 raises $24M to expand its business.,24.0
Alpha Labs 47,$45M,None,"May 16, 2023",Investor 47,Alpha Labs 47 raises $45M to expand its business.,45.0
Neo Partners 48,$124M,Series C,"Dec 11, 2025",,Neo Partners 48 raises $124M to expand its business.,124.0
Quantum AI 49,$76M,Fund I,"Dec 11, 2024",Investor 48,Quantum AI 49 raises $76M to expand its business.,76.0
Rocket Labs 50,$20M,Fund I,"Oct 10, 2025",,Rocket Labs 50 raises $20M to expand its business.,20.0
Smart Partners 51,$39M,Series A,"May 07, 2025",,Smart Partners 51 raises $39M to expand its business.,39.0
Hyper Works 52,$7M,Seed,"Jun 02, 2025",Investor 13,Hyper Works 52 raises $7M to expand its business.,7.0
Neo Systems 53,$98M,Seed,"Nov 29, 2025",,Neo Systems 53 raises $98M to expand its business.,98.0
Quantum Solutions 54,$84M,Fund I,"Jul 24, 2025",Investor 25,Quantum Solutions 54 raises $84M to expand its business.,84.0
Rocket Works 55,$3M,Series C,"Mar 11, 2024",Investor 2,Rocket Works 55 raises $3M to expand its business.,3.0
Neo Works 56,$89M,Series C,"Jun 08, 2023",,Neo Works 56 raises $89M to expand its business.,89.0
Smart Solutions 57,$133M,None,"Oct 18, 2024",,Smart Solutions 57 raises $133M to expand its business.,133.0
Green Solutions 58,$3M,Series A,"Nov 26, 2023",,Green Solutions 58 raises $3M to expand its business.,3.0
Star Partners 59,$49M,Seed,"Oct 17, 2024",,Star Partners 59 raises $49M to expand its business.,49.0
Quantum Works 60,$13M,Series A,"Jun 12, 2023",Investor 1,Quantum Works 60 raises $13M to expand its business.,13.0
Star Ventures 61,$98M,Series C,"Sep 03, 2023",,Star Ventures 61 raises $98M to expand its business.,98.0
Alpha Systems 62,$75M,Fund I,"Jul 28, 2023",,Alpha Systems 62 raises $75M to expand its business.,75.0
Star Dynamics 63,$18M,Series C,"Apr 18, 2023",Investor 29,Star Dynamics 63 raises $18M to expand its business.,18.0
Green Works 64,$81M,Fund I,"Jun 30, 2024",,Green Works 64 raises $81M to expand its business.,81.0
Smart Systems 65,$26M,Seed,"Feb 26, 2024",Investor 11,Smart Systems 65 raises $26M to expand its business.,26.0
Alpha Works 66,$59M,Series A,"May 23, 2023",,Alpha Works 66 raises $59M to expand its business.,59.0
Green Systems 67,$80M,None,"Oct 06, 2023",Investor 3,Green Systems 67 raises $80M to expand its business.,80.0
Tech Partners 68,$35M,None,"Nov 03, 2025",Investor 26,Tech Partners 68 raises $35M to expand its business.,35.0
Smart Partners 69,$124M,Series B,"Dec 18, 2023",,Smart Partners 69 raises $124M to expand its business.,124.0
Star Systems 70,$13M,Series A,"Sep 05, 2025",,Star Systems 70 raises $13M to expand its business.,13.0
